import time: self [us] | cumulative | imported package
import time:      4952 |       6458 |                   numpy._core._internal
import time:       172 |        172 |                   numpy._pytesttester
import time:       353 |      24933 |                 numpy._core
import time:        17 |      24950 |               numpy._core._multiarray_umath
import time:       253 |      25202 |             numpy.__config__
import time:       222 |        222 |                               numpy._typing._nbit_base
import time:       249 |        249 |                               numpy._typing._nested_sequence
import time:       105 |        105 |                               numpy._typing._shape
import time:      2884 |       3458 |                             numpy._typing._array_like
import time:      1183 |       1183 |                             numpy._typing._char_codes
import time:      1596 |       1596 |                             numpy._typing._dtype_like
import time:       118 |        118 |                             numpy._typing._nbit
import time:        89 |         89 |                             numpy._typing._scalars
import time:        74 |         74 |                             numpy._typing._ufunc
import time:       225 |       6740 |                           numpy._typing
import time:       201 |        201 |                             numpy.lib._stride_tricks_impl
import time:       266 |        467 |                           numpy.lib._twodim_base_impl
import time:        86 |         86 |                             numpy.lib._array_utils_impl
import time:        79 |        164 |                           numpy.lib.array_utils
import time:       261 |        261 |                           numpy.linalg._umath_linalg
import time:      1230 |       8860 |                         numpy.linalg._linalg
import time:       115 |        115 |                         numpy.linalg.linalg
import time:       123 |       9098 |                       numpy.linalg
import time:       253 |       9350 |                     numpy.matrixlib.defmatrix
import time:       100 |       9449 |                   numpy.matrixlib
import time:       280 |        280 |                     numpy.lib._histograms_impl
import time:      1257 |       1537 |                   numpy.lib._function_base_impl
import time:        98 |         98 |                   numpy.lib.stride_tricks
import time:       364 |      11446 |                 numpy.lib._index_tricks_impl
import time:       282 |      11728 |               numpy.lib._arraypad_impl
import time:       573 |        573 |               numpy.lib._arraysetops_impl
import time:       141 |        141 |               numpy.lib._arrayterator_impl
import time:       390 |        390 |               numpy.lib._nanfunctions_impl
import time:        47 |         47 |                         _wmi
import time:       507 |        553 |                       platform
import time:       197 |        750 |                     numpy.lib._utils_impl
import time:       199 |        948 |                   numpy.lib._format_impl
import time:        74 |       1022 |                 numpy.lib.format
import time:       213 |        213 |                 numpy.lib._datasource
import time:       309 |        309 |                 numpy.lib._iotools
import time:       581 |       2124 |               numpy.lib._npyio_impl
import time:       112 |        112 |                   numpy.lib._ufunclike_impl
import time:       233 |        344 |                 numpy.lib._type_check_impl
import time:       664 |       1008 |               numpy.lib._polynomial_impl
import time:       315 |        315 |               numpy.lib._shape_base_impl
import time:       112 |        112 |               numpy.lib._version
import time:        74 |         74 |               numpy.lib.introspect
import time:       136 |        136 |               numpy.lib.mixins
import time:        68 |         68 |               numpy.lib.npyio
import time:       193 |        193 |                 numpy.lib._scimath_impl
import time:        68 |        260 |               numpy.lib.scimath
import time:       264 |      17188 |             numpy.lib
import time:       126 |        126 |             numpy._array_api_info
import time:     10168 |      53431 |           numpy
import time:       315 |        315 |           matplotlib._c_internal_utils
import time:       607 |      55086 |         matplotlib.cbook
import time:       169 |        169 |         matplotlib._docstring
import time:       299 |        299 |             matplotlib.backends.registry
import time:       152 |        451 |           matplotlib.backends
import time:       355 |        355 |               binascii
import time:       208 |        563 |             base64
import time:       159 |        159 |               PIL._version
import time:       198 |        356 |             PIL
import time:      2064 |       2064 |               PIL.ExifTags
import time:       327 |        327 |               PIL.ImageMode
import time:       640 |        640 |               PIL.TiffTags
import time:       115 |        115 |               PIL._binary
import time:        93 |         93 |               PIL._deprecate
import time:       113 |        113 |               PIL._util
import time:        83 |         83 |                       xml
import time:        87 |        169 |                     xml.parsers
import time:       326 |        326 |                     pyexpat
import time:        85 |        579 |                   xml.parsers.expat
import time:       216 |        795 |                 defusedxml.common
import time:       124 |        918 |               defusedxml
import time:        71 |         71 |                   xml.etree
import time:       303 |        303 |                   xml.etree.ElementPath
import time:       183 |        183 |                   _elementtree
import time:       604 |       1160 |                 xml.etree.ElementTree
import time:         3 |          3 |                 _elementtree
import time:       627 |       1790 |               defusedxml.ElementTree
import time:      1429 |       1429 |               PIL._imaging
import time:      1954 |       9438 |             PIL.Image
import time:       145 |        145 |               PIL.ImageChops
import time:       558 |        558 |               PIL.ImageFile
import time:       180 |        180 |                 array
import time:       150 |        150 |                 PIL.GimpGradientFile
import time:       110 |        110 |                 PIL.GimpPaletteFile
import time:       172 |        172 |                 PIL.ImageColor
import time:        96 |         96 |                 PIL.PaletteFile
import time:       201 |        906 |               PIL.ImagePalette
import time:        96 |         96 |               PIL.ImageSequence
import time:      1123 |       2827 |             PIL.PngImagePlugin
import time:       525 |        525 |             matplotlib._cm
import time:       423 |        423 |                   matplotlib._path
import time:       229 |        229 |                     matplotlib.bezier
import time:       338 |        566 |                   matplotlib.path
import time:      3787 |       4775 |                 matplotlib.transforms
import time:       909 |       5683 |               matplotlib.ticker
import time:       509 |       6191 |             matplotlib.scale
import time:       487 |        487 |             matplotlib._image
import time:       552 |        552 |             matplotlib._color_data
import time:      1363 |      22300 |           matplotlib.colors
import time:       973 |        973 |               pyparsing.util
import time:       507 |        507 |                 pyparsing.unicode
import time:      1184 |       1690 |               pyparsing.exceptions
import time:       282 |        282 |                 pyparsing.results
import time:       306 |        588 |               pyparsing.actions
import time:      6417 |       6417 |               pyparsing.core
import time:       846 |        846 |                     html.entities
import time:       278 |       1124 |                   html
import time:        19 |       1142 |                 html.entities
import time:      1775 |       2916 |               pyparsing.helpers
import time:       255 |        255 |               pyparsing.testing
import time:      2679 |       2679 |               pyparsing.common
import time:       467 |      15982 |             pyparsing
import time:       282 |      16264 |           matplotlib._fontconfig_pattern
import time:       348 |        348 |           matplotlib._enums
import time:       303 |        303 |           cycler
import time:      1235 |      40899 |         matplotlib.rcsetup
import time:      1448 |       1448 |         matplotlib.ft2font
import time:       125 |        125 |         dateutil._version
import time:       376 |        376 |           kiwisolver.exceptions
import time:       297 |        672 |         kiwisolver._cext
import time:      2722 |       2722 |           numpy.ma.core
import time:       751 |        751 |           numpy.ma.extras
import time:       191 |       3663 |         numpy.ma
import time:      1941 |       1941 |             matplotlib.artist
import time:       806 |       2747 |           matplotlib.colorizer
import time:       866 |        866 |           matplotlib._cm_listed
import time:       512 |        512 |           matplotlib._cm_multivar
import time:       755 |        755 |           matplotlib._cm_bivar
import time:      2137 |       7013 |         matplotlib.cm
import time:      4453 |     131964 |       matplotlib
import time:       296 |        296 |             _socket
import time:       903 |       1198 |           socket
import time:       191 |        191 |               _uuid
import time:       332 |        522 |             uuid
import time:       146 |        146 |             matplotlib._pylab_helpers
import time:       737 |       1404 |           matplotlib.backend_tools
import time:       150 |        150 |                     _json
import time:       257 |        406 |                   json.scanner
import time:       311 |        716 |                 json.decoder
import time:       258 |        258 |                 json.encoder
import time:       163 |       1136 |               json
import time:       624 |        624 |               plistlib
import time:       534 |        534 |                 matplotlib._mathtext_data
