import time: self [us] | cumulative | imported package
import time:       326 |        326 |         numpy.lib._nanfunctions_impl
import time:        61 |         61 |                   _wmi
import time:       510 |        570 |                 platform
import time:       610 |        610 |                 textwrap
import time:       422 |       1601 |               numpy.lib._utils_impl
import time:       177 |       1778 |             numpy.lib._format_impl
import time:        77 |       1855 |           numpy.lib.format
import time:       192 |        192 |           numpy.lib._datasource
import time:       278 |        278 |           numpy.lib._iotools
import time:       493 |       2816 |         numpy.lib._npyio_impl
import time:        95 |         95 |             numpy.lib._ufunclike_impl
import time:       191 |        286 |           numpy.lib._type_check_impl
import time:       444 |        729 |         numpy.lib._polynomial_impl
import time:       276 |        276 |         numpy.lib._shape_base_impl
import time:        99 |         99 |         numpy.lib._version
import time:        65 |         65 |         numpy.lib.introspect
import time:       125 |        125 |         numpy.lib.mixins
import time:        60 |         60 |         numpy.lib.npyio
import time:       171 |        171 |           numpy.lib._scimath_impl
import time:        62 |        232 |         numpy.lib.scimath
import time:       223 |      14782 |       numpy.lib
import time:       113 |        113 |       numpy._array_api_info
import time:      9850 |      46904 |     numpy
import time:        36 |         36 |             atexit
import time:       101 |        101 |               importlib
import time:       244 |        244 |                     zlib
import time:       154 |        154 |                       _compression
import time:       166 |        166 |                       _bz2
import time:       183 |        502 |                     bz2
import time:       218 |        218 |                       _lzma
import time:       179 |        397 |                     lzma
import time:       526 |       1667 |                   shutil
import time:       115 |        115 |                       _bisect
import time:       100 |        214 |                     bisect
import time:       107 |        107 |                     _random
import time:       334 |        654 |                   random
import time:       616 |       2937 |                 tempfile
import time:       115 |        115 |                       _opcode
import time:       148 |        148 |                       _opcode_metadata
import time:       189 |        452 |                     opcode
import time:       803 |       1254 |                   dis
import time:        52 |         52 |                   importlib.machinery
import time:       126 |        126 |                     token
import time:        31 |         31 |                     _tokenize
import time:       573 |        728 |                   tokenize
import time:      1458 |       3490 |                 inspect
import time:       334 |        334 |                 importlib.resources.abc
import time:       287 |       7046 |               importlib.resources._common
import time:        95 |         95 |               importlib.resources._functional
import time:       118 |       7359 |             importlib.resources
import time:        99 |       7492 |           certifi.core
import time:        86 |       7578 |         certifi
import time:       243 |        243 |           array
import time:       134 |        134 |           pyproj._compat
import time:       160 |        160 |               _colorize
import time:       725 |        884 |             traceback
import time:        29 |         29 |               _string
import time:       384 |        413 |             string
import time:      1283 |       2579 |           logging
import time:       149 |        149 |                   _json
import time:       217 |        366 |                 json.scanner
import time:       313 |        678 |               json.decoder
import time:       245 |        245 |               json.encoder
import time:       140 |       1062 |             json
import time:       231 |       1293 |           pyproj.utils
import time:      4553 |       8801 |         pyproj._context
import time:       232 |        232 |         pyproj._network
import time:       152 |      16761 |       pyproj.network
import time:       101 |        101 |           email
import time:       163 |        163 |             binascii
import time:       118 |        118 |               importlib._abc
import time:       142 |        260 |             importlib.util
import time:       121 |        121 |               zipfile._path.glob
import time:       301 |        422 |             zipfile._path
import time:       826 |       1670 |           zipfile
import time:       211 |        211 |           importlib.metadata._meta
import time:       169 |        169 |           importlib.metadata._collections
import time:        65 |         65 |           importlib.metadata._functools
import time:        57 |         57 |           importlib.metadata._itertools
import time:       239 |        239 |           importlib.abc
import time:       754 |       3262 |         importlib.metadata
import time:       112 |       3373 |       pyproj._show_versions
import time:       257 |        257 |       pyproj._version
import time:       491 |        491 |             dataclasses
import time:      1185 |       1676 |           pyproj.aoi
import time:       192 |        192 |           pyproj.crs.datum
import time:       817 |        817 |             pyproj.enums
import time:       450 |       1267 |           pyproj.crs.enums
import time:       138 |        138 |           pyproj.exceptions
import time:       428 |        428 |             pyproj._geod
import time:       201 |        201 |             pyproj.list
import time:       222 |        851 |           pyproj.geod
import time:       687 |       4808 |         pyproj._crs
import time:       359 |        359 |             pyproj.crs.coordinate_operation
import time:       184 |        543 |           pyproj.crs._cf1x8
import time:       148 |        148 |           pyproj.crs.coordinate_system
import time:       646 |       1336 |         pyproj.crs.crs
import time:       109 |       6252 |       pyproj.crs
import time:       490 |        490 |       pyproj.database
import time:       595 |        595 |         pyproj._transformer
import time:        90 |         90 |           pyproj.datadir
import time:      1079 |       1079 |               _hashlib
import time:       144 |        144 |               _blake2
import time:       155 |       1377 |             hashlib
import time:        91 |         91 |               urllib
import time:       189 |        189 |               base64
import time:       469 |        469 |                 http
import time:       483 |        483 |                     email.errors
import time:       136 |        136 |                         email.quoprimime
import time:        69 |         69 |                         email.base64mime
import time:       100 |        100 |                             quopri
import time:        87 |        186 |                           email.encoders
import time:       330 |        516 |                         email.charset
import time:       403 |       1122 |                       email.header
import time:       856 |        856 |                           ipaddress
import time:       930 |       1785 |                         urllib.parse
import time:       238 |        238 |                         email._parseaddr
import time:       331 |       2353 |                       email.utils
import time:       219 |       3692 |                     email._policybase
import time:       388 |       4563 |                   email.feedparser
import time:       158 |       4720 |                 email.parser
import time:       185 |        185 |                   email._encoded_words
import time:        81 |         81 |                   email.iterators
import time:       390 |        656 |                 email.message
import time:       301 |        301 |                   _socket
import time:       140 |        140 |                     select
import time:       413 |        553 |                   selectors
import time:       876 |       1729 |                 socket
import time:      3293 |       3293 |                   _ssl
import time:      1887 |       5179 |                 ssl
import time:       772 |      13522 |               http.client
import time:       134 |        134 |                 urllib.response
import time:       178 |        311 |               urllib.error
import time:      1141 |      15252 |             urllib.request
import time:       216 |        216 |             pyproj._sync
import time:       138 |      16982 |           pyproj.sync
import time:      1537 |      18607 |         pyproj.transformer
import time:       423 |      19625 |       pyproj.proj
import time:       274 |        274 |       importlib.resources._adapters
import time:        56 |         56 |           importlib.resources._itertools
import time:       196 |        252 |         importlib.resources.readers
import time:        73 |        324 |       importlib.readers
import time:      5062 |      52414 |     pyproj
import time:       149 |        149 |       loguru._defaults
import time:       382 |        382 |               signal
import time:       228 |        610 |             multiprocessing.process
import time:       215 |        215 |             multiprocessing.reduction
import time:       334 |       1157 |           multiprocessing.context
import time:       166 |       1322 |         multiprocessing
import time:       101 |        101 |                 concurrent
import time:       407 |        407 |                 concurrent.futures._base
import time:       126 |        633 |               concurrent.futures
import time:       123 |        123 |                 _heapq
import time:       128 |        250 |               heapq
import time:        76 |         76 |                   _locale
import time:      1264 |       1339 |                 locale
import time:       160 |        160 |                 fcntl
import time:        49 |         49 |                 msvcrt
import time:        97 |         97 |                 _posixsubprocess
import time:       767 |       2411 |               subprocess
import time:       183 |        183 |               asyncio.constants
import time:       105 |        105 |               asyncio.coroutines
import time:        81 |         81 |                 asyncio.format_helpers
import time:        87 |         87 |                   asyncio.base_futures
import time:       127 |        127 |                   asyncio.exceptions
import time:        75 |         75 |                   asyncio.base_tasks
import time:       218 |        506 |                 _asyncio
import time:       352 |        938 |               asyncio.events
import time:       176 |        176 |               asyncio.futures
import time:       122 |        122 |               asyncio.protocols
import time:       189 |        189 |                 asyncio.transports
import time:        62 |         62 |                 asyncio.log
import time:       444 |        694 |               asyncio.sslproto
import time:        70 |         70 |                   asyncio.mixins
import time:       315 |        385 |                 asyncio.locks
import time:       171 |        171 |                   asyncio.queues
import time:       286 |        286 |                   asyncio.timeouts
import time:       512 |        969 |                 asyncio.tasks
import time:       118 |       1471 |               asyncio.staggered
import time:       112 |        112 |               asyncio.trsock
import time:       918 |       8007 |             asyncio.base_events
