import time: self [us] | cumulative | imported package
import time:       325 |        325 |         numpy.lib._nanfunctions_impl
import time:        51 |         51 |                   _wmi
import time:       506 |        556 |                 platform
import time:       595 |        595 |                 textwrap
import time:       407 |       1557 |               numpy.lib._utils_impl
import time:       182 |       1739 |             numpy.lib._format_impl
import time:        83 |       1822 |           numpy.lib.format
import time:       217 |        217 |           numpy.lib._datasource
import time:       285 |        285 |           numpy.lib._iotools
import time:       480 |       2802 |         numpy.lib._npyio_impl
import time:        94 |         94 |             numpy.lib._ufunclike_impl
import time:       206 |        300 |           numpy.lib._type_check_impl
import time:       417 |        716 |         numpy.lib._polynomial_impl
import time:       291 |        291 |         numpy.lib._shape_base_impl
import time:       104 |        104 |         numpy.lib._version
import time:        64 |         64 |         numpy.lib.introspect
import time:       120 |        120 |         numpy.lib.mixins
import time:        60 |         60 |         numpy.lib.npyio
import time:       189 |        189 |           numpy.lib._scimath_impl
import time:        62 |        250 |         numpy.lib.scimath
import time:       229 |      14717 |       numpy.lib
import time:       122 |        122 |       numpy._array_api_info
import time:      9339 |      44911 |     numpy
import time:        28 |         28 |             atexit
import time:        97 |         97 |               importlib
import time:       223 |        223 |                     zlib
import time:       141 |        141 |                       _compression
import time:       157 |        157 |                       _bz2
import time:       180 |        476 |                     bz2
import time:       205 |        205 |                       _lzma
import time:       163 |        368 |                     lzma
import time:       471 |       1536 |                   shutil
import time:       106 |        106 |                       _bisect
import time:        88 |        193 |                     bisect
import time:       109 |        109 |                     _random
import time:       307 |        608 |                   random
import time:       564 |       2708 |                 tempfile
import time:       118 |        118 |                       _opcode
import time:       159 |        159 |                       _opcode_metadata
import time:       195 |        471 |                     opcode
import time:       781 |       1251 |                   dis
import time:        54 |         54 |                   importlib.machinery
import time:       124 |        124 |                     token
import time:        30 |         30 |                     _tokenize
import time:       594 |        747 |                   tokenize
import time:      1386 |       3436 |                 inspect
import time:       315 |        315 |                 importlib.resources.abc
import time:       275 |       6732 |               importlib.resources._common
import time:        91 |         91 |               importlib.resources._functional
import time:       107 |       7027 |             importlib.resources
import time:       102 |       7156 |           certifi.core
import time:        88 |       7244 |         certifi
import time:       216 |        216 |           array
import time:       131 |        131 |           pyproj._compat
import time:       158 |        158 |               _colorize
import time:       723 |        881 |             traceback
import time:        29 |         29 |               _string
import time:       394 |        422 |             string
import time:      1269 |       2571 |           logging
import time:       145 |        145 |                   _json
import time:       228 |        373 |                 json.scanner
import time:       315 |        687 |               json.decoder
import time:       248 |        248 |               json.encoder
import time:       123 |       1057 |             json
import time:       236 |       1293 |           pyproj.utils
import time:      4222 |       8432 |         pyproj._context
import time:       226 |        226 |         pyproj._network
import time:       149 |      16049 |       pyproj.network
import time:       113 |        113 |           email
import time:       163 |        163 |             binascii
import time:       103 |        103 |               importlib._abc
import time:       122 |        224 |             importlib.util
import time:       119 |        119 |               zipfile._path.glob
import time:       285 |        403 |             zipfile._path
import time:       842 |       1631 |           zipfile
import time:       191 |        191 |           importlib.metadata._meta
import time:       176 |        176 |           importlib.metadata._collections
import time:        77 |         77 |           importlib.metadata._functools
import time:        62 |         62 |           importlib.metadata._itertools
import time:       241 |        241 |           importlib.abc
import time:       739 |       3227 |         importlib.metadata
import time:       113 |       3340 |       pyproj._show_versions
import time:       254 |        254 |       pyproj._version
import time:       493 |        493 |             dataclasses
import time:       988 |       1481 |           pyproj.aoi
import time:       189 |        189 |           pyproj.crs.datum
import time:       829 |        829 |             pyproj.enums
import time:       413 |       1242 |           pyproj.crs.enums
import time:       139 |        139 |           pyproj.exceptions
import time:       437 |        437 |             pyproj._geod
import time:       183 |        183 |             pyproj.list
import time:       219 |        838 |           pyproj.geod
import time:       671 |       4558 |         pyproj._crs
import time:       328 |        328 |             pyproj.crs.coordinate_operation
import time:       190 |        518 |           pyproj.crs._cf1x8
